epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2169,0.80631,1.40184,1.35933,0.74744,0.75793,0.78925,0.4439,1.18558,1.77848,1.674,0.00066129,0.00066129,0.00066129
2,56.3052,0.80562,0.99376,1.32854,0.85224,0.70339,0.78621,0.447,1.60896,1.80227,2.78529,0.00130166,0.00130166,0.00130166
3,82.2778,0.82862,0.90919,1.35531,0.95677,0.94474,0.9787,0.70847,0.95473,0.97126,1.79395,0.00191564,0.00191564,0.00191564
4,108.097,0.78896,0.75912,1.29576,0.82573,0.80899,0.88187,0.55983,1.02867,1.14977,1.65063,0.0018812,0.0018812,0.0018812
5,133.948,0.76114,0.67822,1.30962,0.93844,0.92959,0.97674,0.7473,0.85856,0.69242,1.48129,0.0018416,0.0018416,0.0018416
6,159.545,0.74381,0.65229,1.28322,0.97587,0.98638,0.99339,0.83801,0.60166,0.53588,1.20612,0.001802,0.001802,0.001802
7,185.338,0.71134,0.60914,1.2534,0.95718,0.95405,0.98557,0.83661,0.59138,0.51952,1.17856,0.0017624,0.0017624,0.0017624
8,211.515,0.70015,0.57407,1.24765,0.99316,0.9939,0.99488,0.87054,0.57219,0.39986,1.13691,0.0017228,0.0017228,0.0017228
9,237.86,0.67867,0.52095,1.22179,0.98657,0.89589,0.9627,0.80537,0.66824,0.57512,1.23472,0.0016832,0.0016832,0.0016832
10,263.902,0.63847,0.52229,1.19986,0.96174,0.91953,0.97357,0.84093,0.61769,0.60252,1.20117,0.0016436,0.0016436,0.0016436
11,290.436,0.62598,0.48463,1.18221,0.97689,0.97561,0.99271,0.87194,0.55293,0.41655,1.11651,0.001604,0.001604,0.001604
12,316.725,0.61969,0.49197,1.19238,0.98692,0.97561,0.99445,0.86988,0.55244,0.39618,1.12954,0.0015644,0.0015644,0.0015644
13,343.622,0.62003,0.48023,1.17908,0.99905,0.96341,0.9916,0.88048,0.51439,0.40216,1.0611,0.0015248,0.0015248,0.0015248
14,370.394,0.60836,0.4596,1.1662,0.98779,0.98682,0.99421,0.89945,0.46862,0.34025,1.02247,0.0014852,0.0014852,0.0014852
15,396.211,0.58482,0.45038,1.16837,0.9854,0.94512,0.97427,0.83536,0.60266,0.4195,1.15639,0.0014456,0.0014456,0.0014456
16,423.065,0.60518,0.44718,1.17387,0.99236,0.9878,0.9947,0.90698,0.43248,0.31401,0.97298,0.001406,0.001406,0.001406
17,449.699,0.56202,0.43856,1.14688,0.98783,0.98977,0.99482,0.86977,0.52174,0.41098,1.07725,0.0013664,0.0013664,0.0013664
18,475.975,0.5554,0.40853,1.14223,1,0.98463,0.99482,0.93008,0.4202,0.29158,0.96326,0.0013268,0.0013268,0.0013268
19,502.676,0.55846,0.4007,1.12842,0.98788,0.99369,0.99476,0.9232,0.44779,0.32784,0.99114,0.0012872,0.0012872,0.0012872
20,528.814,0.5342,0.40686,1.12841,1,0.9933,0.995,0.92733,0.3859,0.29339,0.92139,0.0012476,0.0012476,0.0012476
21,555.239,0.52773,0.39792,1.12416,0.9968,0.98171,0.99482,0.91915,0.4056,0.29622,0.94221,0.001208,0.001208,0.001208
22,581.233,0.54483,0.40461,1.12593,0.97603,0.99299,0.99434,0.91027,0.44642,0.31697,0.98833,0.0011684,0.0011684,0.0011684
23,606.903,0.5094,0.37224,1.10604,0.98756,1,0.99488,0.927,0.39195,0.28795,0.94179,0.0011288,0.0011288,0.0011288
24,632.902,0.52527,0.38408,1.11937,0.99389,0.992,0.99494,0.93992,0.36496,0.27923,0.90838,0.0010892,0.0010892,0.0010892
25,658.627,0.50268,0.36586,1.10369,0.99394,0.99932,0.99494,0.95085,0.34918,0.24544,0.88721,0.0010496,0.0010496,0.0010496
26,684.473,0.5103,0.36332,1.11641,0.99235,0.97561,0.99452,0.91568,0.3982,0.28942,0.93818,0.00101,0.00101,0.00101
27,710.3,0.49331,0.3598,1.08687,1,0.99295,0.995,0.93132,0.38438,0.26259,0.9109,0.0009704,0.0009704,0.0009704
28,736.105,0.48247,0.34928,1.0875,0.97487,0.98171,0.99387,0.91039,0.43464,0.30778,0.97408,0.0009308,0.0009308,0.0009308
29,761.992,0.47905,0.34072,1.08203,0.99323,1,0.995,0.95082,0.35586,0.24158,0.89697,0.0008912,0.0008912,0.0008912
30,787.913,0.4686,0.33408,1.08246,0.99393,0.99889,0.99494,0.94246,0.36595,0.25819,0.90089,0.0008516,0.0008516,0.0008516
31,813.649,0.46998,0.33355,1.07602,0.99393,0.99919,0.99482,0.94255,0.33934,0.24305,0.87351,0.000812,0.000812,0.000812
32,839.578,0.44365,0.31702,1.07074,0.98758,0.98171,0.99439,0.95528,0.33158,0.23652,0.85499,0.0007724,0.0007724,0.0007724
33,865.384,0.45762,0.33209,1.07045,0.99905,0.98171,0.99464,0.95379,0.3281,0.24264,0.8702,0.0007328,0.0007328,0.0007328
34,891.119,0.44401,0.31789,1.06867,0.99225,0.9878,0.99482,0.95436,0.33977,0.23692,0.87366,0.0006932,0.0006932,0.0006932
35,916.806,0.45213,0.31489,1.07518,0.99945,1,0.995,0.95576,0.33442,0.21706,0.87258,0.0006536,0.0006536,0.0006536
36,942.588,0.43288,0.30955,1.06229,0.98982,1,0.99488,0.95011,0.33134,0.22424,0.8709,0.000614,0.000614,0.000614
37,968.436,0.42281,0.30568,1.05093,0.99933,1,0.995,0.96999,0.29725,0.2047,0.84227,0.0005744,0.0005744,0.0005744
38,994.196,0.41018,0.29864,1.04263,0.99984,1,0.995,0.96583,0.30638,0.20581,0.84208,0.0005348,0.0005348,0.0005348
39,1020.03,0.43003,0.30418,1.06024,0.99275,1,0.99494,0.95318,0.32319,0.22092,0.84551,0.0004952,0.0004952,0.0004952
40,1045.9,0.42432,0.29273,1.05552,0.99944,1,0.995,0.96871,0.31211,0.20673,0.85128,0.0004556,0.0004556,0.0004556
41,1086.8,0.26835,0.21512,0.96936,0.99915,0.9878,0.99488,0.96189,0.30051,0.21644,0.83887,0.000416,0.000416,0.000416
42,1112.59,0.24662,0.1869,0.93918,0.99937,0.9878,0.99494,0.96359,0.30782,0.21691,0.84969,0.0003764,0.0003764,0.0003764
43,1138.23,0.24533,0.18557,0.93578,0.99888,1,0.995,0.97216,0.29008,0.20684,0.83935,0.0003368,0.0003368,0.0003368
44,1164,0.23364,0.17566,0.9261,1,0.99935,0.995,0.97363,0.28428,0.19142,0.82863,0.0002972,0.0002972,0.0002972
45,1189.7,0.23443,0.17268,0.91952,0.99971,0.9939,0.995,0.96486,0.28999,0.20061,0.83685,0.0002576,0.0002576,0.0002576
46,1215.43,0.21711,0.16483,0.91574,1,0.99343,0.995,0.97309,0.27245,0.18641,0.82715,0.000218,0.000218,0.000218
47,1241.2,0.21517,0.1643,0.91303,1,0.99903,0.995,0.97647,0.27426,0.18289,0.82309,0.0001784,0.0001784,0.0001784
48,1267.28,0.21302,0.16028,0.90141,0.99975,0.9939,0.995,0.97709,0.26857,0.18396,0.82196,0.0001388,0.0001388,0.0001388
49,1293,0.20121,0.14909,0.89726,1,0.99223,0.995,0.97753,0.26244,0.17711,0.81159,9.92e-05,9.92e-05,9.92e-05
50,1318.78,0.19732,0.1511,0.89529,1,0.99282,0.995,0.97921,0.25525,0.17695,0.80784,5.96e-05,5.96e-05,5.96e-05
